keys,en,zh,de
ACHIEVEMENT_first_mission_DESC,Complete your first mission,完成第一個任務,Complete your first mission
ACHIEVEMENT_reality_seeker_TITLE,Reality Seeker,現實追尋者,Reality Seeker
ACHIEVEMENT_reality_seeker_DESC,Reach Reality Score of 80 or higher,達到80以上的現實感知值,Reach Reality Score of 80 or higher
ACHIEVEMENT_reality_crisis_TITLE,Reality Crisis,現實危機,Reality Crisis
ACHIEVEMENT_reality_crisis_DESC,Reality Score drops below 20,現實感知值降到20以下,Reality Score drops below 20
ACHIEVEMENT_positive_resistance_TITLE,Positive Resistance,正能量抗體,Positive Resistance
ACHIEVEMENT_positive_resistance_DESC,Keep Positive Energy below 30,保持正能量指數在30以下,Keep Positive Energy below 30
ACHIEVEMENT_positive_victim_TITLE,Positive Victim,正能量受害者,Positive Victim
ACHIEVEMENT_positive_victim_DESC,Positive Energy reaches 90 or higher,正能量指數達到90以上,Positive Energy reaches 90 or higher
ACHIEVEMENT_entropy_witness_TITLE,Entropy Witness,熵增見證者,Entropy Witness
ACHIEVEMENT_entropy_witness_DESC,Entropy Level reaches 100,熵增等級達到100,Entropy Level reaches 100
ACHIEVEMENT_diary_keeper_TITLE,Diary Keeper,日記守護者,Diary Keeper
ACHIEVEMENT_diary_keeper_DESC,Record 10 journal entries,在日記中記錄10條條目,Record 10 journal entries
ACHIEVEMENT_master_complainer_TITLE,Master Complainer,抱怨大師,Master Complainer
ACHIEVEMENT_master_complainer_DESC,Trigger Gloria's moral blackmail 3 times,觸發Gloria的道德勒索3次,Trigger Gloria's moral blackmail 3 times
ACHIEVEMENT_faithful_noodler_TITLE,Faithful Noodler,虔誠麵神徒,Faithful Noodler
ACHIEVEMENT_faithful_noodler_DESC,Pray to the Flying Spaghetti Monster 10 times,向飛天意粉神祈禱10次,Pray to the Flying Spaghetti Monster 10 times
ACHIEVEMENT_skill_master_TITLE,Skill Master,技能大師,Skill Master
ACHIEVEMENT_skill_master_DESC,Raise any skill to 10,將任何技能提升到10,Raise any skill to 10
ACHIEVEMENT_survivor_TITLE,Survivor,倖存者,Survivor
ACHIEVEMENT_survivor_DESC,Complete 10 missions,完成10個任務,Complete 10 missions
ACHIEVEMENT_veteran_TITLE,Veteran,老兵,Veteran
ACHIEVEMENT_veteran_DESC,Complete 50 missions,完成50個任務,Complete 50 missions
ACHIEVEMENT_logic_master_TITLE,Logic Master,邏輯大師,Logic Master
ACHIEVEMENT_logic_master_DESC,Successfully pass 10 Logic checks,成功完成10次邏輯檢定,Successfully pass 10 Logic checks
ACHIEVEMENT_perception_expert_TITLE,Perception Expert,觀察專家,Perception Expert
ACHIEVEMENT_perception_expert_DESC,Successfully pass 10 Perception checks,成功完成10次感知檢定,Successfully pass 10 Perception checks
ACHIEVEMENT_balanced_mind_TITLE,Balanced Mind,平衡心智,Balanced Mind
ACHIEVEMENT_balanced_mind_DESC,Keep both Reality and Positive Energy between 40-60,保持現實值和正能量都在40-60之間,Keep both Reality and Positive Energy between 40-60
ACHIEVEMENT_moral_philosopher_TITLE,Moral Philosopher,道德哲學家,Moral Philosopher
ACHIEVEMENT_moral_philosopher_DESC,Face and resolve your first moral dilemma,面對並解決第一個道德困境,Face and resolve your first moral dilemma
ACHIEVEMENT_trolley_conductor_TITLE,Trolley Conductor,電車調度員,Trolley Conductor
ACHIEVEMENT_trolley_conductor_DESC,Resolve 5 moral dilemmas,解決5個道德困境,Resolve 5 moral dilemmas
ACHIEVEMENT_complicit_TITLE,Complicit,共犯,Complicit
ACHIEVEMENT_complicit_DESC,Resolve 10 moral dilemmas and become complicit in the disasters,解決10個道德困境，成為災難的共犯,Resolve 10 moral dilemmas and become complicit in the disasters
ACHIEVEMENT_tutorial_master_TITLE,Tutorial Master,教程達人,Tutorial Master
ACHIEVEMENT_tutorial_master_DESC,Complete all tutorial hints,完成所有教程提示,Complete all tutorial hints
# UI Labels,,,
UI_ACHIEVEMENT_SYSTEM_NOT_CONFIGURED,Achievement System Not Configured,成就系統未配置,Achievement System Not Configured
ACHIEVEMENT_PROGRESS_SUMMARY,Achievement Progress: %d/%d (%.1f%%),成就進度：%d/%d (%.1f%%),Achievement Progress: %d/%d (%.1f%%)
ACHIEVEMENT_UNLOCKED_AT_LABEL,Unlocked:,解鎖於：,Unlocked:
ACHIEVEMENT_SETUP_TITLE, Setup Required, 需要設定, Setup Required
ACHIEVEMENT_SETUP_BODY,"[b]The Achievement System is not loaded.[/b]\n\n[color=#ffaa88]To enable achievements:[/color]\n\n1. Open [b]Project → Project Settings[/b] in Godot\n2. Go to the [b]Autoload[/b] tab\n3. Click [b]Add[/b]\n4. Set the path to: [b]res://1.Codebase/src/scripts/core/achievement_system.gd[/b]\n5. Set the Node Name to: [b]AchievementSystem[/b]\n6. Click [b]Add[/b] to confirm\n7. Rebirths the game\n\n[color=#88ff88]After setup, you'll be able to track achievements like:[/color]\n• Mission completions\n• Skill masteries\n• Stat milestones\n• And many more!",[b]成就系統未載入。[/b]\n\n[color=#ffaa88]設定步驟：[/color]\n\n1. 在 Godot 中打開 [b]Project → Project Settings[/b]\n2. 進入 [b]Autoload[/b] 標籤\n3. 點擊 [b]Add[/b]\n4. 選擇: [code]res://1.Codebase/src/scripts/core/achievement_system.gd[/code]\n5. 設定名稱為 [b]AchievementSystem[/b]\n6. 勾選 [b]Enable[/b]\n7. 重新啟動場景。\n\n[color=#aaffaa]成就系統將自動初始化並追蹤進度。[/color],"[b]The Achievement System is not loaded.[/b]\n\n[color=#ffaa88]To enable achievements:[/color]\n\n1. Open [b]Project → Project Settings[/b] in Godot\n2. Go to the [b]Autoload[/b] tab\n3. Click [b]Add[/b]\n4. Set the path to: [b]res://1.Codebase/src/scripts/core/achievement_system.gd[/b]\n5. Set the Node Name to: [b]AchievementSystem[/b]\n6. Click [b]Add[/b] to confirm\n7. Rebirths the game\n\n[color=#88ff88]After setup, you'll be able to track achievements like:[/color]\n• Mission completions\n• Skill masteries\n• Stat milestones\n• And many more!"
ACHIEVEMENT_HINT_FIRST_MISSION,Complete any mission,完成任務一次,Complete any mission
ACHIEVEMENT_HINT_SURVIVOR,Progress: %d/10 missions,進度：%d/10 個任務,Progress: %d/10 missions
ACHIEVEMENT_HINT_VETERAN,Progress: %d/50 missions,進度：%d/50 個任務,Progress: %d/50 missions
ACHIEVEMENT_HINT_DIARY_KEEPER,Progress: %d/10 journal entries,進度：%d/10 篇日記,Progress: %d/10 journal entries
ACHIEVEMENT_HINT_MASTER_COMPLAINER,Progress: %d/3 Gloria triggers,進度：%d/3 次 Gloria 觸發,Progress: %d/3 Gloria triggers
ACHIEVEMENT_HINT_FAITHFUL_NOODLER,Progress: %d/10 prayers,進度：%d/10 次祈禱,Progress: %d/10 prayers
ACHIEVEMENT_HINT_LOGIC_MASTER,Progress: %d/10 logic checks,進度：%d/10 次邏輯檢定,Progress: %d/10 logic checks
ACHIEVEMENT_HINT_PERCEPTION_EXPERT,Progress: %d/10 perception checks,進度：%d/10 次洞察檢定,Progress: %d/10 perception checks
ACHIEVEMENT_HINT_REALITY_SEEKER,Current reality: %d/80,目前現實值：%d/80,Current reality: %d/80
ACHIEVEMENT_HINT_REALITY_CRISIS,Current reality: %d (need <20),目前現實值：%d（需低於 20）,Current reality: %d (need <20)
ACHIEVEMENT_HINT_POSITIVE_RESISTANCE,Current positive energy: %d (keep under 30),目前正能量：%d（保持低於 30）,Current positive energy: %d (keep under 30)
ACHIEVEMENT_HINT_POSITIVE_VICTIM,Current positive energy: %d/90,目前正能量：%d/90,Current positive energy: %d/90
ACHIEVEMENT_HINT_ENTROPY_WITNESS,Current entropy: %d/100,目前熵值：%d/100,Current entropy: %d/100
ACHIEVEMENT_HINT_SKILL_MASTER,Highest skill: %d/10,最高技能：%d/10,Highest skill: %d/10
ACHIEVEMENT_HINT_BALANCED_MIND,"Keep both 40-60 (Reality:%d, Positive:%d, Turns:%d/5)",維持 40-60 區間（現實:%d，正能量:%d，回合:%d/5）,"Keep both 40-60 (Reality:%d, Positive:%d, Turns:%d/5)"
UI_JOURNAL_DESCRIPTION,Record your observations and doubts or choose preset responses.,記錄你的觀察、思想和疑慮，或選擇預設回應。,Record your observations and doubts or choose preset responses.
UI_JOURNAL_ENTRY_PROMPT,What happened today?,今天發生了什麼？,What happened today?
UI_JOURNAL_BUTTON_FRUSTRATED,Frustrated,沮喪,Frustrated
UI_JOURNAL_BUTTON_HOPELESS,Hopeless,絕望,Hopeless
UI_JOURNAL_BUTTON_ANGRY,Angry,憤怒,Angry
UI_JOURNAL_BUTTON_CONFUSED,Confused,困惑不解,Confused
UI_JOURNAL_BUTTON_TIRED,Exhausted,疲憊不堪,Exhausted
UI_JOURNAL_BUTTON_CUSTOM,Write my own,自己撰寫,Write my own
UI_CLOSE_BUTTON,CLOSE,關閉,CLOSE
GAME_EXIT_CONFIRM_TITLE,Exit Game?,退出遊戲？,Exit Game?
GAME_EXIT_CONFIRM_TEXT,Are you sure you want to exit the game?,確定要退出遊戲嗎？,Are you sure you want to exit the game?
GAME_EXIT_CONFIRM_OK,Exit,退出,Exit
GAME_EXIT_CONFIRM_CANCEL,Cancel,取消,Cancel
PLACEHOLDER_NO_ASSETS,(No symbolic assets assigned yet.),(尚未分配象徵性資源。),(No symbolic assets assigned yet.)
# Intro Page,,,
INTRO_CHAPTERS,Chapters,章節,Chapters
INTRO_CHAPTER_1,Act I,第一章,Act I
INTRO_CHAPTER_2,Act II,第二章,Act II
INTRO_CHAPTER_3,Act III,第三章,Act III
INTRO_CHAPTER_4,Act IV,第四章,Act IV
INTRO_TITLE,GAME INTRODUCTION - HOW TO PLAY,遊戲介紹 - 如何遊玩,GAME INTRODUCTION - HOW TO PLAY
INTRO_BODY,"Welcome to Glorious Deliverance Agency 1 (GDA1)!\n\nIn this game, you will experience a world ruled by the ""Flying Spaghetti Monster"" cult and toxic positive energy culture. As one of the few who maintains reality perception, you need to:\n\n• Stay sane during absurd missions\n• Resist teammates' ""positive energy"" interference\n• Face disasters with logic and reason\n• Record true feelings in your journal\n\nGame Features:\n- Dark humor and satirical narrative\n- AI-driven dynamic story generation\n- Reality perception system (staying awake is important!)\n- Teammate interference mechanics (they make things worse)\n- Flying Spaghetti Monster prayer system (be careful what you wish for)\n\nRemember: In this world, ""success"" often means greater disaster.\nStay skeptical, stay awake, good luck!\n\nOn the web build, saves are stored in your browser's local storage (IndexedDB). Desktop builds use the standard Godot data directory.",歡迎來到光榮拯救機構 1（GDA1）！\n\n在這個遊戲中，你將體驗一個被「飛天意粉神教」和有毒正能量文化統治的世界。作為少數保持現實感知的人之一，你需要：\n\n• 在荒謬的任務中保持清醒\n• 抵抗隊友的「正能量」干擾\n• 用邏輯和理性面對災難\n• 在日記中記錄真實感受\n\n遊戲特色：\n- 黑色幽默與諷刺敘事\n- AI 驅動的動態故事生成\n- 現實感知系統（保持清醒很重要！）\n- 隊友干擾機制（他們會讓事情更糟）\n- 飛天意粉神禱告系統（小心你的願望）\n\n記住：在這個世界裡，「成功」往往意味著更大的災難。\n保持懷疑，保持清醒，祝你好運！\n\n網頁版會將存檔保存在瀏覽器的本機儲存空間（IndexedDB），桌面版則使用 Godot 預設的資料夾。,"Welcome to Glorious Deliverance Agency 1 (GDA1)!\n\nIn this game, you will experience a world ruled by the ""Flying Spaghetti Monster"" cult and toxic positive energy culture. As one of the few who maintains reality perception, you need to:\n\n• Stay sane during absurd missions\n• Resist teammates' ""positive energy"" interference\n• Face disasters with logic and reason\n• Record true feelings in your journal\n\nGame Features:\n- Dark humor and satirical narrative\n- AI-driven dynamic story generation\n- Reality perception system (staying awake is important!)\n- Teammate interference mechanics (they make things worse)\n- Flying Spaghetti Monster prayer system (be careful what you wish for)\n\nRemember: In this world, ""success"" often means greater disaster.\nStay skeptical, stay awake, good luck!\n\nOn the web build, saves are stored in your browser's local storage (IndexedDB). Desktop builds use the standard Godot data directory."
INTRO_BUTTON_CHARACTERS,VIEW CHARACTERS,查看角色介紹,VIEW CHARACTERS
INTRO_BUTTON_CLOSE,BACK TO MAIN MENU,返回主選單,BACK TO MAIN MENU
# Mission/Story Text,,,
STORY_MISSION_GENERATION_INSTRUCTION,Create a new mission scenario for the player.,為玩家創建一個新的任務情景。,Create a new mission scenario for the player.
STORY_PRAYER_RESPONSE,The Flying Spaghetti Monster has heard your prayer... maybe.,飛行面條怪聽到了你的祈禱... 也許。,The Flying Spaghetti Monster has heard your prayer... maybe.
# Trolley Problem Dilemma - Team Strategy Discussion,,,
DILEMMA_TEAM_STRATEGY_SCENARIO,The team is discussing strategy. Gloria proposes an optimistic plan but ARK points out its logical flaws.,團隊正在討論策略。Gloria 提出了一個樂觀的計劃，但 ARK 指出了其中的邏輯缺陷。,The team is discussing strategy. Gloria proposes an optimistic plan but ARK points out its logical flaws.
DILEMMA_TEAM_STRATEGY_CHOICE_POSITIVE, Support Gloria's optimistic plan and stay positive., 支持 Gloria 的樂觀計劃，保持積極。, Support Gloria's optimistic plan and stay positive.
DILEMMA_TEAM_STRATEGY_CHOICE_POSITIVE_IMMEDIATE,Team feels better and Gloria gains confidence.,團隊感覺更好，Gloria 增加信心。,Team feels better and Gloria gains confidence.
DILEMMA_TEAM_STRATEGY_CHOICE_POSITIVE_LONGTERM,Plan fails due to logical flaws but team stays positive missing improvement opportunities.,計劃因邏輯缺陷失敗，但團隊保持積極，錯過了改進機會。,Plan fails due to logical flaws but team stays positive missing improvement opportunities.
DILEMMA_TEAM_STRATEGY_CHOICE_REALISTIC, Support ARK's critical analysis and face reality., 支持 ARK 的批判性分析，面對現實。, Support ARK's critical analysis and face reality.
DILEMMA_TEAM_STRATEGY_CHOICE_REALISTIC_IMMEDIATE,Gloria feels criticized and team morale drops.,Gloria 感到被批評，團隊士氣下降。,Gloria feels criticized and team morale drops.
DILEMMA_TEAM_STRATEGY_CHOICE_REALISTIC_LONGTERM,Team learns critical thinking but may strain relationship with Gloria.,團隊學會批判性思考，但可能與 Gloria 關係緊張。,Team learns critical thinking but may strain relationship with Gloria.
DILEMMA_TEAM_STRATEGY_THEME,Sometimes honesty is punished while toxic positivity is rewarded.,有時誠實會受到懲罰，而毒性積極性卻得到獎勵。,Sometimes honesty is punished while toxic positivity is rewarded.
JOURNAL_PRESET_FRUSTRATED,"I feel frustrated. No matter how logically I plan, the team still ruins everything.","我感到沮喪。無論我如何邏輯地規劃,團隊仍然毀掉一切。","I feel frustrated. No matter how logically I plan, the team still ruins everything."
JOURNAL_PRESET_HOPELESS,I feel hopeless. Can this world even be saved? Positive-energy dogma has already wrecked it all.,我感到絕望。這個世界還能被拯救嗎?正能量教條已經毀了一切。,I feel hopeless. Can this world even be saved? Positive-energy dogma has already wrecked it all.
JOURNAL_PRESET_ANGRY,I'm furious. Why won't anyone face reality? Why is admitting the problem so hard?,我非常憤怒。為什麼沒人願意面對現實?為什麼承認問題這麼難?,I'm furious. Why won't anyone face reality? Why is admitting the problem so hard?
JOURNAL_PRESET_CONFUSED,"I'm confused. Positive-energy thinking causes so much disaster, yet people still believe in it.","我很困惑。正能量思維造成如此多的災難,但人們仍然相信它。","I'm confused. Positive-energy thinking causes so much disaster, yet people still believe in it."
JOURNAL_PRESET_EXHAUSTED,I'm exhausted. Fighting these absurd catastrophes every day is draining me dry.,我筋疲力盡。每天與這些荒謬的災難作鬥爭讓我心力交瘁。,I'm exhausted. Fighting these absurd catastrophes every day is draining me dry.
JOURNAL_SAVE_FAILED,Failed to save journal. Check permissions.,"日記保存失敗,請檢查權限。",Failed to save journal. Check permissions.
JOURNAL_EMPTY_STATE,No diary entries yet.\nRecording your feelings helps restore reality.,還沒有日記條目。\n記錄你的感受有助於恢復現實。,No diary entries yet.\nRecording your feelings helps restore reality.
JOURNAL_REALITY_GAIN,+%d Reality,+%d 現實值,+%d Reality
JOURNAL_AI_PROMPT_ROLE,You are the player's brutally honest inner analyst in the satirical world of GDA1.,你是身處 GDA1 諷刺世界裡的玩家內心分析者。,You are the player's brutally honest inner analyst in the satirical world of GDA1.
JOURNAL_AI_PROMPT_OBJECTIVE,Help the player vent about forced positivity while acknowledging the hard facts below.,請依據下面的情境，提供能讓玩家誠實抒發、揭露正能量教條矛盾的反思提示。,Help the player vent about forced positivity while acknowledging the hard facts below.
JOURNAL_AI_PROMPT_MISSION_HEADER,Mission excerpt:,劇情摘錄：,Mission excerpt:
JOURNAL_AI_PROMPT_EVENTS_HEADER,Recent events:,近期事件：,Recent events:
JOURNAL_AI_PROMPT_STATS_HEADER,Player stats:,玩家狀態：,Player stats:
JOURNAL_AI_PROMPT_STAT_REALITY,- Reality score: %d,- 現實值：%d,- Reality score: %d
JOURNAL_AI_PROMPT_STAT_POSITIVE,- Positive energy: %d,- 正能量：%d,- Positive energy: %d
JOURNAL_AI_PROMPT_STAT_ENTROPY,- Entropy level: %d,- 熵值：%d,- Entropy level: %d
JOURNAL_AI_PROMPT_JSON_RULE,"Return ONLY valid JSON (double quotes, UTF-8, no code fences, no commentary).",只回傳有效 JSON（使用雙引號、UTF-8，不可加入 Markdown 或額外說明）。,"Return ONLY valid JSON (double quotes, UTF-8, no code fences, no commentary)."
JOURNAL_AI_PROMPT_STRUCTURE,Use exactly this structure:,結構如下：,Use exactly this structure:
JOURNAL_AI_PROMPT_TEMPLATE_TEXT,"    {""text"": ""<=%d words reflection""}","    {""text"": ""不超過 %d 字的反思""}","    {""text"": ""<=%d words reflection""}"
JOURNAL_AI_PROMPT_FINAL_INSTRUCTION,"Provide exactly %d suggestions. Each must stand alone, stay within %d words, avoid emojis, and highlight the clash between reality and mandated optimism.",請輸出剛好 %d 則提示，每則維持黑色幽默與同理心，並點出現實與正能量教條的衝突，長度不得超過 %d 個字。,"Provide exactly %d suggestions. Each must stand alone, stay within %d words, avoid emojis, and highlight the clash between reality and mandated optimism."
JOURNAL_FALLBACK_SUGGESTION_1,Document how the team's 'positivity' twisted the mission into chaos.,寫下所謂的正能量如何把任務推向崩壞。,Document how the team's 'positivity' twisted the mission into chaos.
JOURNAL_FALLBACK_SUGGESTION_2,Note what your gut noticed before everything collapsed.,記錄你在災難前察覺到的不安跡象。,Note what your gut noticed before everything collapsed.
JOURNAL_FALLBACK_SUGGESTION_3,Describe the contradiction between ordered smiles and the entropy you measured.,描述笑容秩序與熵值之間的荒謬矛盾。,Describe the contradiction between ordered smiles and the entropy you measured.
JOURNAL_SUGGESTION_HINT,Tap a suggestion to start writing.,點選建議即可開始書寫。,Tap a suggestion to start writing.
JOURNAL_AI_ERROR_PREFIX,AI error:,AI 錯誤：,AI error:
JOURNAL_AI_EMPTY_RESPONSE,AI returned nothing. Showing fallback reflections.,AI 未提供建議，改顯示預設選項。,AI returned nothing. Showing fallback reflections.
JOURNAL_SUMMARY_PROMPT_TEMPLATE,"Player diary entry:\n""%s""\n\nRecent mission context:\n%s\n\nLatest story excerpt:\n%s\n\nIn no more than %d words, write a single reflective sentence explaining why the player feels this way. Highlight the causal tension between reality and forced positivity.","玩家日記條目：\n""%s""\n\n近期任務脈絡：\n%s\n\n最新故事摘錄：\n%s\n\n請在 %d 個字以內寫出一句反思，說明玩家情緒的原因並凸顯現實與被迫正能量的拉扯。","Player diary entry:\n""%s""\n\nRecent mission context:\n%s\n\nLatest story excerpt:\n%s\n\nIn no more than %d words, write a single reflective sentence explaining why the player feels this way. Highlight the causal tension between reality and forced positivity."
JOURNAL_AI_GENERATING,AI analysis generating...,AI 分析生成中...,AI analysis generating...
JOURNAL_SECTION_LATEST_STORY,Latest Experience,最新故事,Latest Experience
JOURNAL_SECTION_RECENT_EVENTS,Recent Events,近期事件,Recent Events
JOURNAL_SECTION_AI_SUGGESTIONS,AI Reflection Suggestions,AI 反思建議,AI Reflection Suggestions
JOURNAL_NO_STORY,No story recorded yet.,尚無故事記錄。,No story recorded yet.
JOURNAL_GENERATING_SUMMARY,Generating story summary...,正在生成故事摘要...,Generating story summary...
JOURNAL_NO_MILESTONES,No recent milestone.,沒有近期里程碑。,No recent milestone.
JOURNAL_AI_FALLBACK,AI unavailable. Using fallback reflections.,"AI 無法使用,改用備援反思。",AI unavailable. Using fallback reflections.
JOURNAL_LOADING_SUGGESTIONS,Loading suggestions...,載入建議中...,Loading suggestions...
JOURNAL_NO_EVENTS,No specific incidents were logged.,尚未記錄具體事件。,No specific incidents were logged.
JOURNAL_NO_NARRATIVE,No mission narrative yet.,尚未有任務敘事。,No mission narrative yet.
JOURNAL_AI_UNAVAILABLE,AI summary unavailable.,AI 摘要不可用。,AI summary unavailable.
JOURNAL_ENTRY_SAVED,Entry Saved! Reality +%d,條目已儲存！現實值 +%d,Entry Saved! Reality +%d
JOURNAL_SAVED,Journal saved!,日記已儲存!,Journal saved!
JOURNAL_MISSION_OUTCOME,Mission outcome:,任務結果:,Mission outcome:
JOURNAL_NO_EXTRA_EVENTS,No additional events recorded.,尚無額外事件記錄。,No additional events recorded.
